Source,Timestamp,Latitude,Longitude,Altitude,Speed,rssi,Data
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4145122611,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=254,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4147140537,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=255,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4149129089,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=0,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4151130494,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=1,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4153130405,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=2,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4155142439,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=100,crcpass=1,hdrlen=11,ielen=0,msdulen=89,type=1,seq=3,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4157145288,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=4,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4159142310,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=100,crcpass=1,hdrlen=11,ielen=0,msdulen=89,type=1,seq=5,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4161160227,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=6,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-58,railtime=4163142147,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-58,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=7,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4165154103,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=8,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-61,railtime=4167150972,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-61,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=9,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-60,railtime=4169168863,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-60,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=10,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4171173950,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=11,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-60,railtime=4173158847,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-60,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=12,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4175161728,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=13,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
009.log,N/A,N/A,N/A,N/A,N/A,-59,railtime=4177174295,mod=rail,event=rx,nodeid=67,rfpath=1,ch=5212,rssi=-59,lqi=255,mpdu_len=99,crcpass=1,hdrlen=11,ielen=0,msdulen=88,type=1,seq=14,id=97,dest_pan=0,dest_addr=ffff,src_pan=0,src_addr=97,pl=
